brand,cashback,offer,details,url,source,date_time
"Eastbay","15%","15% Off $75 Or More & Free Shipping","","","https://www.retailmenot.com/",2017-05-03 17:05:16
"buybuy BABY","20%","20% Off One Item In-Store","","","https://www.retailmenot.com/",2017-05-03 17:05:16
"CVS","$10","$10 Off First Curbside Purchase of $10+","","","https://www.retailmenot.com/",2017-05-03 17:05:16
"Bed Bath and Beyond","20%","20% Off One Item In-Store","","","https://www.retailmenot.com/",2017-05-03 17:05:16
"Papa John's","50%","50% Off Regular Menu Price Order","","","https://www.retailmenot.com/",2017-05-03 17:05:16
"Kohl's","15%","15% Off Over $100 Purchase + Free Shipping","","","https://www.retailmenot.com/",2017-05-03 17:05:16
"Talbots","30%","30% Off Sitewide","Get 30% off entire purchase","talbots.com","https://www.retailmenot.com/",2017-05-03 17:05:16
"Perry Ellis","20%","Additional 20% Off","RetailMeNot Exclusive! Take An Additional 20% Off Your Purchase. Some Exclusions Apply. Expires on 09/30/2017.","perryellis.com","https://www.retailmenot.com/",2017-05-03 17:05:16
"Michaels","40%","40% Off Any One Regular Priced Item","Get 40% Off Any One Regular Priced Item. Limit one coupon per product. Limit one coupon of each type per day. Valid in US only","michaels.com","https://www.retailmenot.com/",2017-05-03 17:05:16
"JetBlue","$49","2-Day Sale! Fares From $49 One Way","Book by May 3, 2017 (the earlier of 11:59 PM ET or local time). Travel between May 9 – June 14, 2017. Blackout Dates: 5/24 – 5/30/17. Sale fares for select origins and destinations only.","jetblue.com","https://www.retailmenot.com/",2017-05-03 17:05:16
"Hobby Lobby","40%","40% Off One Item at Regular Price","Super Savings, Super Selection! Get 40% Off One item at Regular Price. Limit One Coupon per customer per day.","hobbylobby.com","https://www.retailmenot.com/",2017-05-03 17:05:16
"Bath & Body Works","$10","$10 Off Orders of $30","Get $10 Off Orders of $30. Limit 1 coupon per customer.","bathandbodyworks.com","https://www.retailmenot.com/",2017-05-03 17:05:16
"Pizza Hut","50%","50% Off All Menu-Priced Pizzas Ordered Online","Get 50% off all menu-priced pizzas ordered online","pizzahut.com","https://www.retailmenot.com/",2017-05-03 17:05:16
"Macy's","30%","Up to an Extra 30% Off Select Regular, Sale & Clearance Items","Take an extra 30% off regular, sale & clearance Clothing, shoes & accessories; Extra 25% off regular, sale & clearance fine Jewelry, Watches & Home Items; Extra 10% off regular, sale & clearance Cosmetics/Fragrances, Electrics/Electronics, Furniture, Rugs/floor covering & Mattresses.","macys.com","https://www.retailmenot.com/",2017-05-03 17:05:16
"JCPenney","30%","Up to an Extra 30% Off","It’s Penney Palooza! Get an Extra 30% off select apparel, shoes, accessories, fine jewelry and home purchases with your JCPenney Credit Card or extra 25% off with any other method of payment. Extra 15% off select watches, salon products, furniture, mattresses, custom blinds and shades purchases with any method of payment","jcpenney.com","https://www.retailmenot.com/",2017-05-03 17:05:16
"Express","15%","15% Off
In-Store And Online!","Take 15% off your entire purchase in-store and online! Some exclusions apply. Expires on 05/31/2017.","express.com","https://www.retailmenot.com/",2017-05-03 17:05:16
"McAlister's Deli","","Free Club Sandwich W/ Drink Purchase & App","Download the McAlister's Deli app for a coupon for a free club sandwich w/ purchase of a tea.","mcalistersdeli.com","https://www.retailmenot.com/",2017-05-03 17:05:16
"AC Moore","50%","50% Off Any One Regular Price Item","Get 50% Off Any One Regular Price Item. Limit one coupon per customer, per transaction, per day.","acmoore.com","https://www.retailmenot.com/",2017-05-03 17:05:16
"Hotels.com","40%","Up to 40% + Extra 10% Off","Hotels.com Code","hotels.com","https://www.retailmenot.com/",2017-05-03 17:05:16
"Things Remembered","25%","25% Off + Free Shipping","Things Remembered Code","thingsremembered.com","https://www.retailmenot.com/",2017-05-03 17:05:16
"Orvis","$25","$25 Stackable Cash Back","Orvis Cash Back Offer","orvis.com","https://www.retailmenot.com/",2017-05-03 17:05:16
